"field:1","field:2","field:3","field:4","field:5","field:6","field:7","field:8","field:9"
2.0,2.0,0.0,4.0,68.0,1.0,0.0,2.0,-1.0
5.0,0.0,0.0,1.5,19.0,0.0,0.0,3.0,1.0
4.0,0.0,0.0,1.0,18.0,0.0,0.0,2.0,1.0
7.0,1.0,0.0,1.5,39.0,0.0,1.0,2.0,-1.0
0.0,0.0,0.0,1.5,73.0,1.0,1.0,2.0,-1.0
12.0,1.0,1.0,1.0,42.0,1.0,2.0,1.0,-1.0
2.0,0.0,0.0,4.0,24.0,0.0,0.0,4.0,-1.0
3.0,0.0,0.0,1.5,28.0,3.0,0.0,2.0,-1.0
1.0,0.0,0.0,4.0,28.0,1.0,0.0,4.0,1.0
0.0,0.0,0.0,4.0,52.0,0.0,0.0,4.0,-1.0
5.0,1.0,1.0,1.5,34.0,3.0,0.0,2.0,-1.0
5.0,1.0,0.0,1.5,45.0,4.0,0.0,2.0,-1.0
6.0,1.0,0.0,1.5,47.0,0.0,3.0,1.0,-1.0
0.0,0.0,0.0,1.5,68.0,0.0,2.0,2.0,1.0
0.0,0.0,0.0,1.0,50.0,0.0,2.0,2.0,1.0
4.0,0.0,0.0,1.0,34.0,1.0,0.0,2.0,1.0
10.0,0.0,0.0,1.0,38.0,0.0,2.0,2.0,-1.0
0.0,0.0,0.0,1.5,27.0,2.0,0.0,2.0,1.0
1.0,0.0,0.0,1.5,32.0,1.0,0.0,2.0,1.0
0.0,0.0,0.0,1.5,33.0,2.0,0.0,2.0,1.0
1.0,0.0,0.0,1.5,37.0,3.0,0.0,3.0,1.0
5.0,0.0,0.0,1.5,27.0,1.0,0.0,3.0,-1.0
3.0,0.0,0.0,1.5,19.0,1.0,0.0,3.0,1.0
2.0,1.0,1.0,1.5,51.0,3.0,0.0,1.0,-1.0
2.0,1.0,0.0,1.5,44.0,0.0,3.0,1.0,-1.0
4.0,0.0,0.0,4.0,14.0,0.0,4.0,1.0,-1.0
2.0,1.0,0.0,1.0,62.0,1.0,0.0,1.0,-1.0
9.0,0.0,0.0,1.5,33.0,2.0,0.0,2.0,1.0
1.0,0.0,0.0,1.5,53.0,2.0,0.0,3.0,1.0
0.0,0.0,0.0,1.5,71.0,1.0,0.0,3.0,1.0
2.0,0.0,0.0,1.5,27.0,2.0,0.0,3.0,-1.0
2.0,1.0,0.0,1.5,55.0,1.0,0.0,2.0,-1.0
14.0,1.0,0.0,1.5,32.0,2.0,2.0,1.0,-1.0
0.0,0.0,0.0,1.0,38.0,1.0,0.0,2.0,1.0
1.0,0.0,0.0,1.5,17.0,3.0,0.0,3.0,1.0
7.0,1.0,0.0,1.5,24.0,0.0,3.0,1.0,-1.0
0.0,0.0,0.0,1.5,25.0,2.0,0.0,3.0,1.0
12.0,0.0,1.0,4.0,26.0,2.0,0.0,1.0,1.0
7.0,0.0,0.0,1.5,15.0,1.0,0.0,3.0,1.0
13.0,1.0,0.0,1.5,44.0,0.0,3.0,1.0,-1.0
